run_id,model,scenario,strategy,fold,subset,video_id,session_id,observed_hours,false_fatigue_windows,false_fatigue_episodes,false_windows_per_hour,false_episodes_per_hour
G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,svm,A,none,1,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,svm,A,none,1,validation,video_03,session_03,0.09897965594162766,6,4,60.618517440982465,40.41234496065498
G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,svm,A,none,1,validation,video_04,session_04,0.09894167151620005,3,2,30.32089466478035,20.21392977652023
G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,svm,A,none,1,test,video_01,session_01,0.4933518182717438,8,7,16.215608625959312,14.1886575477144
G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,svm,A,none,2,validation,video_01,session_01,0.08484541579462511,6,4,70.71684361266452,47.144562408443015
G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,svm,A,none,2,validation,video_03,session_03,0.09897965594162766,17,8,171.75246608278366,80.82468992130995
G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,svm,A,none,2,validation,video_04,session_04,0.09894167151620005,13,8,131.39054354738153,80.85571910608093
G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,svm,A,none,2,test,video_02,session_02,0.498435,40,22,80.2511862128462,44.13815241706541
G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,svm,A,none,3,validation,video_01,session_01,0.08484541579462511,6,4,70.71684361266452,47.144562408443015
G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,svm,A,none,3,validation,video_02,session_02,0.099687,10,9,100.31398276605776,90.28258448945199
G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,svm,A,none,3,validation,video_04,session_04,0.09894167151620005,4,4,40.42785955304046,40.42785955304046
G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,svm,A,none,3,test,video_03,session_03,0.49538827800487906,16,15,32.29789785183899,30.279279236099054
G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,svm,A,none,4,validation,video_01,session_01,0.08484541579462511,8,5,94.28912481688603,58.93070301055376
G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,svm,A,none,4,validation,video_02,session_02,0.099687,11,6,110.34538104266353,60.18838965963466
G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,svm,A,none,4,validation,video_03,session_03,0.09897965594162766,15,7,151.54629360245616,70.7216036811462
G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,svm,A,none,4,test,video_04,session_04,0.49564397622417944,23,15,46.40427626138871,30.263658431340463
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,lstm,A,none,1,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,lstm,A,none,1,validation,video_03,session_03,0.09897965594162766,0,0,0.0,0.0
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,lstm,A,none,1,validation,video_04,session_04,0.09894167151620005,0,0,0.0,0.0
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,lstm,A,none,1,test,video_01,session_01,0.4933518182717438,0,0,0.0,0.0
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,lstm,A,none,2,validation,video_01,session_01,0.08484541579462511,0,0,0.0,0.0
