model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,scenario,balancing,seed
svm,r0_flat,3,validation,distraction,alert,87,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,distraction,fatigue,4,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,distraction,distraction,61,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,alert,alert,1084,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,alert,fatigue,21,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,alert,distraction,262,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,fatigue,alert,15,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,fatigue,distraction,6,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,distraction,alert,35,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,distraction,fatigue,9,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,test,distraction,distraction,68,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,alert,alert,726,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,alert,fatigue,49,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,alert,distraction,237,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,fatigue,alert,11,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,fatigue,fatigue,2,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,fatigue,distraction,4,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,distraction,alert,51,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,distraction,fatigue,7,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,validation,distraction,distraction,38,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,test,alert,alert,721,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,test,alert,fatigue,48,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,test,alert,distraction,188,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,test,fatigue,alert,0,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,4,test,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
