model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing
random_forest,r0_flat,4,validation,distraction,0.2606060606060606,0.43434343434343436,0.32575757575757575,99,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,4,test,alert,0.8849162011173184,0.825,0.8539083557951482,960,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,4,test,fatigue,0.0,0.0,0.0,4,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,4,test,distraction,0.2,0.2978723404255319,0.23931623931623933,141,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,4,validation,alert,0.9204545454545454,0.8752455795677799,0.8972809667673716,1018,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,4,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,4,validation,distraction,0.2485207100591716,0.42424242424242425,0.31343283582089554,99,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,4,test,alert,0.8872767857142857,0.828125,0.8566810344827587,960,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,4,test,fatigue,0.0,0.0,0.0,4,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,4,test,distraction,0.21052631578947367,0.3120567375886525,0.25142857142857145,141,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,alert,0.6875,0.03254437869822485,0.062146892655367235,1014,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,1,validation,fatigue,0.0,0.0,0.0,4,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,1,validation,distraction,0.09696969696969697,0.5925925925925926,0.16666666666666666,162,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,1,test,alert,0.5477031802120141,0.14246323529411764,0.2261123267687819,1088,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,1,test,fatigue,0.05785123966942149,0.417910447761194,0.10163339382940109,67,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,1,test,distraction,0.04302477183833116,0.0870712401055409,0.05759162303664921,379,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,1,validation,alert,0.8927875243664717,0.903353057199211,0.8980392156862745,1014,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,1,validation,fatigue,0.18181818181818182,0.5,0.26666666666666666,4,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,1,validation,distraction,0.3776223776223776,0.3333333333333333,0.3540983606557377,162,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,1,test,alert,0.8666061705989111,0.8777573529411765,0.8721461187214612,1088,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,1,test,fatigue,0.0,0.0,0.0,67,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,1,test,distraction,0.6108490566037735,0.683377308707124,0.6450809464508095,379,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,1,validation,alert,0.8881640260950606,0.9398422090729783,0.9132726401533301,1014,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,1,validation,fatigue,0.0,0.0,0.0,4,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,1,validation,distraction,0.42990654205607476,0.2839506172839506,0.3420074349442379,162,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
