model,ablation,fold,subset,actual,predicted,count,preprocessing,window_size_frames,num_features
xgboost,all_features,2,validation,alert,fatigue,6,short_gap_interpolation,30,14
xgboost,all_features,2,validation,alert,distraction,163,short_gap_interpolation,30,14
xgboost,all_features,2,validation,fatigue,alert,20,short_gap_interpolation,30,14
xgboost,all_features,2,validation,fatigue,fatigue,0,short_gap_interpolation,30,14
xgboost,all_features,2,validation,fatigue,distraction,0,short_gap_interpolation,30,14
xgboost,all_features,2,validation,distraction,alert,45,short_gap_interpolation,30,14
xgboost,all_features,2,validation,distraction,fatigue,0,short_gap_interpolation,30,14
xgboost,all_features,2,validation,distraction,distraction,34,short_gap_interpolation,30,14
xgboost,all_features,2,test,alert,alert,1456,short_gap_interpolation,30,14
xgboost,all_features,2,test,alert,fatigue,3,short_gap_interpolation,30,14
xgboost,all_features,2,test,alert,distraction,121,short_gap_interpolation,30,14
xgboost,all_features,2,test,fatigue,alert,0,short_gap_interpolation,30,14
xgboost,all_features,2,test,fatigue,fatigue,0,short_gap_interpolation,30,14
xgboost,all_features,2,test,fatigue,distraction,0,short_gap_interpolation,30,14
xgboost,all_features,2,test,distraction,alert,103,short_gap_interpolation,30,14
xgboost,all_features,2,test,distraction,fatigue,0,short_gap_interpolation,30,14
xgboost,all_features,2,test,distraction,distraction,192,short_gap_interpolation,30,14
svm,all_features,3,validation,alert,alert,811,short_gap_interpolation,30,14
svm,all_features,3,validation,alert,fatigue,23,short_gap_interpolation,30,14
svm,all_features,3,validation,alert,distraction,159,short_gap_interpolation,30,14
svm,all_features,3,validation,fatigue,alert,13,short_gap_interpolation,30,14
svm,all_features,3,validation,fatigue,fatigue,0,short_gap_interpolation,30,14
svm,all_features,3,validation,fatigue,distraction,0,short_gap_interpolation,30,14
svm,all_features,3,validation,distraction,alert,89,short_gap_interpolation,30,14
svm,all_features,3,validation,distraction,fatigue,6,short_gap_interpolation,30,14
svm,all_features,3,validation,distraction,distraction,57,short_gap_interpolation,30,14
svm,all_features,3,test,alert,alert,1252,short_gap_interpolation,30,14
svm,all_features,3,test,alert,fatigue,7,short_gap_interpolation,30,14
svm,all_features,3,test,alert,distraction,112,short_gap_interpolation,30,14
svm,all_features,3,test,fatigue,alert,22,short_gap_interpolation,30,14
svm,all_features,3,test,fatigue,fatigue,1,short_gap_interpolation,30,14
svm,all_features,3,test,fatigue,distraction,2,short_gap_interpolation,30,14
svm,all_features,3,test,distraction,alert,51,short_gap_interpolation,30,14
svm,all_features,3,test,distraction,fatigue,3,short_gap_interpolation,30,14
svm,all_features,3,test,distraction,distraction,63,short_gap_interpolation,30,14
random_forest,all_features,3,validation,alert,alert,861,short_gap_interpolation,30,14
random_forest,all_features,3,validation,alert,fatigue,2,short_gap_interpolation,30,14
random_forest,all_features,3,validation,alert,distraction,130,short_gap_interpolation,30,14
random_forest,all_features,3,validation,fatigue,alert,13,short_gap_interpolation,30,14
random_forest,all_features,3,validation,fatigue,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,3,validation,fatigue,distraction,0,short_gap_interpolation,30,14
random_forest,all_features,3,validation,distraction,alert,96,short_gap_interpolation,30,14
random_forest,all_features,3,validation,distraction,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,3,validation,distraction,distraction,56,short_gap_interpolation,30,14
random_forest,all_features,3,test,alert,alert,1288,short_gap_interpolation,30,14
random_forest,all_features,3,test,alert,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,3,test,alert,distraction,83,short_gap_interpolation,30,14
random_forest,all_features,3,test,fatigue,alert,23,short_gap_interpolation,30,14
random_forest,all_features,3,test,fatigue,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,3,test,fatigue,distraction,2,short_gap_interpolation,30,14
random_forest,all_features,3,test,distraction,alert,64,short_gap_interpolation,30,14
random_forest,all_features,3,test,distraction,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,3,test,distraction,distraction,53,short_gap_interpolation,30,14
xgboost,all_features,3,validation,alert,alert,821,short_gap_interpolation,30,14
xgboost,all_features,3,validation,alert,fatigue,9,short_gap_interpolation,30,14
xgboost,all_features,3,validation,alert,distraction,163,short_gap_interpolation,30,14
xgboost,all_features,3,validation,fatigue,alert,12,short_gap_interpolation,30,14
xgboost,all_features,3,validation,fatigue,fatigue,0,short_gap_interpolation,30,14
xgboost,all_features,3,validation,fatigue,distraction,1,short_gap_interpolation,30,14
xgboost,all_features,3,validation,distraction,alert,92,short_gap_interpolation,30,14
