model,ablation,fold,subset,label,precision,recall,f1,support,preprocessing,window_size_frames,num_features
svm,all_features,3,validation,alert,0.8877995642701525,0.8207452165156093,0.8529565672422815,993,short_gap_interpolation_with_flags,30,17
svm,all_features,3,validation,fatigue,0.0,0.0,0.0,13,short_gap_interpolation_with_flags,30,17
svm,all_features,3,validation,distraction,0.2757009345794392,0.3881578947368421,0.3224043715846995,152,short_gap_interpolation_with_flags,30,17
svm,all_features,3,test,alert,0.944319036869827,0.9153902261123268,0.9296296296296296,1371,short_gap_interpolation_with_flags,30,17
svm,all_features,3,test,fatigue,0.09090909090909091,0.04,0.05555555555555555,25,short_gap_interpolation_with_flags,30,17
svm,all_features,3,test,distraction,0.35260115606936415,0.5213675213675214,0.4206896551724138,117,short_gap_interpolation_with_flags,30,17
random_forest,all_features,3,validation,alert,0.8845360824742268,0.8640483383685801,0.8741721854304636,993,short_gap_interpolation_with_flags,30,17
random_forest,all_features,3,validation,fatigue,0.0,0.0,0.0,13,short_gap_interpolation_with_flags,30,17
random_forest,all_features,3,validation,distraction,0.27044025157232704,0.28289473684210525,0.2765273311897106,152,short_gap_interpolation_with_flags,30,17
random_forest,all_features,3,test,alert,0.9380917698470502,0.9394602479941648,0.9387755102040817,1371,short_gap_interpolation_with_flags,30,17
random_forest,all_features,3,test,fatigue,0.0,0.0,0.0,25,short_gap_interpolation_with_flags,30,17
random_forest,all_features,3,test,distraction,0.38524590163934425,0.4017094017094017,0.39330543933054396,117,short_gap_interpolation_with_flags,30,17
xgboost,all_features,3,validation,alert,0.893687707641196,0.8126888217522659,0.8512658227848101,993,short_gap_interpolation_with_flags,30,17
xgboost,all_features,3,validation,fatigue,0.0,0.0,0.0,13,short_gap_interpolation_with_flags,30,17
xgboost,all_features,3,validation,distraction,0.3018867924528302,0.3157894736842105,0.3086816720257235,152,short_gap_interpolation_with_flags,30,17
xgboost,all_features,3,test,alert,0.9465648854961832,0.9044493070751276,0.9250279746363297,1371,short_gap_interpolation_with_flags,30,17
xgboost,all_features,3,test,fatigue,0.0,0.0,0.0,25,short_gap_interpolation_with_flags,30,17
xgboost,all_features,3,test,distraction,0.2953020134228188,0.37606837606837606,0.3308270676691729,117,short_gap_interpolation_with_flags,30,17
svm,all_features,4,validation,alert,0.9291521486643438,0.7858546168958742,0.8515167642362959,1018,short_gap_interpolation_with_flags,30,17
svm,all_features,4,validation,fatigue,0.04716981132075472,0.25,0.07936507936507936,20,short_gap_interpolation_with_flags,30,17
svm,all_features,4,validation,distraction,0.21764705882352942,0.37373737373737376,0.275092936802974,99,short_gap_interpolation_with_flags,30,17
svm,all_features,4,test,alert,0.8906832298136645,0.746875,0.8124645892351274,960,short_gap_interpolation_with_flags,30,17
svm,all_features,4,test,fatigue,0.0,0.0,0.0,4,short_gap_interpolation_with_flags,30,17
svm,all_features,4,test,distraction,0.24404761904761904,0.2907801418439716,0.26537216828478966,141,short_gap_interpolation_with_flags,30,17
random_forest,all_features,4,validation,alert,0.927007299270073,0.8732809430255403,0.8993424380374304,1018,short_gap_interpolation_with_flags,30,17
random_forest,all_features,4,validation,fatigue,0.0,0.0,0.0,20,short_gap_interpolation_with_flags,30,17
random_forest,all_features,4,validation,distraction,0.25308641975308643,0.41414141414141414,0.31417624521072796,99,short_gap_interpolation_with_flags,30,17
random_forest,all_features,4,test,alert,0.8927335640138409,0.80625,0.8472906403940886,960,short_gap_interpolation_with_flags,30,17
random_forest,all_features,4,test,fatigue,0.0,0.0,0.0,4,short_gap_interpolation_with_flags,30,17
random_forest,all_features,4,test,distraction,0.22119815668202766,0.3404255319148936,0.2681564245810056,141,short_gap_interpolation_with_flags,30,17
xgboost,all_features,4,validation,alert,0.9262926292629263,0.8271119842829077,0.873897249610794,1018,short_gap_interpolation_with_flags,30,17
xgboost,all_features,4,validation,fatigue,0.0,0.0,0.0,20,short_gap_interpolation_with_flags,30,17
xgboost,all_features,4,validation,distraction,0.20100502512562815,0.40404040404040403,0.2684563758389262,99,short_gap_interpolation_with_flags,30,17
xgboost,all_features,4,test,alert,0.8929001203369434,0.7729166666666667,0.8285873813512005,960,short_gap_interpolation_with_flags,30,17
xgboost,all_features,4,test,fatigue,0.0,0.0,0.0,4,short_gap_interpolation_with_flags,30,17
xgboost,all_features,4,test,distraction,0.20491803278688525,0.3546099290780142,0.2597402597402597,141,short_gap_interpolation_with_flags,30,17
svm,all_features,1,validation,alert,0.9144196951934349,0.7692307692307693,0.8355650776647028,1014,zero_fill_baseline,60,14
svm,all_features,1,validation,fatigue,0.03125,0.5,0.058823529411764705,4,zero_fill_baseline,60,14
svm,all_features,1,validation,distraction,0.30798479087452474,0.5,0.3811764705882353,162,zero_fill_baseline,60,14
svm,all_features,1,test,alert,0.8657865786578658,0.7233455882352942,0.7881822734101152,1088,zero_fill_baseline,60,14
svm,all_features,1,test,fatigue,0.02666666666666667,0.05970149253731343,0.03686635944700461,67,zero_fill_baseline,60,14
svm,all_features,1,test,distraction,0.5452631578947369,0.683377308707124,0.6065573770491803,379,zero_fill_baseline,60,14
random_forest,all_features,1,validation,alert,0.891713747645951,0.9339250493096647,0.9123314065510597,1014,zero_fill_baseline,60,14
random_forest,all_features,1,validation,fatigue,0.0,0.0,0.0,4,zero_fill_baseline,60,14
random_forest,all_features,1,validation,distraction,0.4322033898305085,0.3148148148148148,0.36428571428571427,162,zero_fill_baseline,60,14
random_forest,all_features,1,test,alert,0.834703947368421,0.9329044117647058,0.8810763888888888,1088,zero_fill_baseline,60,14
random_forest,all_features,1,test,fatigue,0.0,0.0,0.0,67,zero_fill_baseline,60,14
random_forest,all_features,1,test,distraction,0.7169811320754716,0.6015831134564644,0.6542324246771879,379,zero_fill_baseline,60,14
xgboost,all_features,1,validation,alert,0.9030883919062833,0.8362919132149902,0.8684075780849975,1014,zero_fill_baseline,60,14
xgboost,all_features,1,validation,fatigue,0.0,0.0,0.0,4,zero_fill_baseline,60,14
xgboost,all_features,1,validation,distraction,0.3133047210300429,0.4506172839506173,0.369620253164557,162,zero_fill_baseline,60,14
xgboost,all_features,1,test,alert,0.8731617647058824,0.8731617647058824,0.8731617647058824,1088,zero_fill_baseline,60,14
xgboost,all_features,1,test,fatigue,0.0,0.0,0.0,67,zero_fill_baseline,60,14
xgboost,all_features,1,test,distraction,0.6418918918918919,0.7519788918205804,0.692588092345079,379,zero_fill_baseline,60,14
svm,all_features,2,validation,alert,0.9455621301775148,0.7398148148148148,0.8301298701298702,1080,zero_fill_baseline,60,14
svm,all_features,2,validation,fatigue,0.019417475728155338,0.11764705882352941,0.03333333333333333,17,zero_fill_baseline,60,14
svm,all_features,2,validation,distraction,0.17777777777777778,0.5263157894736842,0.26578073089701,76,zero_fill_baseline,60,14
svm,all_features,2,test,alert,0.9374149659863945,0.8771483131763208,0.906280828674778,1571,zero_fill_baseline,60,14
svm,all_features,2,test,fatigue,,,,0,zero_fill_baseline,60,14
svm,all_features,2,test,distraction,0.6006600660066007,0.621160409556314,0.610738255033557,293,zero_fill_baseline,60,14
random_forest,all_features,2,validation,alert,0.9392430278884463,0.8731481481481481,0.9049904030710173,1080,zero_fill_baseline,60,14
random_forest,all_features,2,validation,fatigue,0.0,0.0,0.0,17,zero_fill_baseline,60,14
